*****feed mode change*****
*****normal*****
15,16000,0,0,
47,5474,0,0,
78,3215,0,0,
110,2291,0,0,
140,1778,0,0,
172,1456,0,0,
203,1232,0,0,
235,1068,0,0,
265,942,0,0,
297,843,0,0,
328,763,0,0,
360,696,0,0,
390,641,0,0,
422,593,0,0,
453,552,0,0,
485,517,0,0,
515,485,0,0,
547,458,0,0,
578,433,0,0,
610,411,0,0,
640,391,0,0,
672,373,0,0,
703,356,0,0,
735,341,0,0,
765,327,0,0,
797,314,0,0,
828,302,0,0,
860,291,0,0,
890,281,0,0,
922,272,0,0,
953,263,0,0,
985,254,0,0,
1015,247,0,0,
1047,239,0,0,
1078,232,0,0,
1110,226,0,0,
1140,220,0,0,
1172,214,0,0,
1203,208,0,0,
1235,203,0,0,
1265,198,0,0,
1297,193,0,0,
1328,189,0,0,
1360,184,0,0,
1390,180,0,0,
1422,176,0,0,
1453,173,0,0,
1485,169,0,0,
1515,165,0,0,
1547,162,0,0,
1578,159,0,0,
1610,156,0,0,
1640,153,0,0,
1672,150,0,0,
1703,147,0,0,
1735,145,0,0,
1765,142,0,0,
1797,140,0,0,
1828,137,0,0,
1860,135,0,0,
1890,133,0,0,
1922,131,0,0,
1953,129,0,0,
1985,126,0,0,
1984,126,0,0,
1953,128,0,0,
1922,131,0,0,
1891,133,0,0,
1859,135,0,0,
1828,137,0,0,
1797,140,0,0,
1766,142,0,0,
1734,145,0,0,
1703,147,0,0,
1672,150,0,0,
1641,153,0,0,
1609,156,0,0,
1578,159,0,0,
1547,162,0,0,
1516,165,0,0,
1484,169,0,0,
1453,173,0,0,
1422,176,0,0,
1391,180,0,0,
1359,184,0,0,
1328,189,0,0,
1297,193,0,0,
1266,198,0,0,
1234,203,0,0,
1203,208,0,0,
1172,214,0,0,
1141,220,0,0,
1109,226,0,0,
1078,232,0,0,
1047,239,0,0,
1016,247,0,0,
984,254,0,0,
953,263,0,0,
922,272,0,0,
891,281,0,0,
859,291,0,0,
828,302,0,0,
797,314,0,0,
766,327,0,0,
734,341,0,0,
703,356,0,0,
672,373,0,0,
641,391,0,0,
609,411,0,0,
578,433,0,0,
547,458,0,0,
516,485,0,0,
484,517,0,0,
453,552,0,0,
422,593,0,0,
391,640,0,0,
359,696,0,0,
328,762,0,0,
297,842,0,0,
266,942,0,0,
234,1067,0,0,
203,1231,0,0,
172,1454,0,0,
141,1777,0,0,
109,2286,0,0,
78,3196,0,0,
47,5311,0,0,
16,15750,0,0,
0,0,0,0,0,
